com.samsung.shealth.tracker.pedometer_step_count,2,,,,,,,,,
duration,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.end_time
10522,0,19,09:00.0,10:00.0,09:56.2,19,1.3551716,14.26,0.68000007,10:00.0
23036,0,36,10:00.0,11:24.6,10:00.6,36,1.1321181,26.079994,1.4399999,11:00.0
41402,0,71,11:00.0,15:00.7,11:25.1,71,1.2639394,52.329994,2.8199997,12:00.0
60000,0,96,12:00.0,15:00.7,15:00.7,96,1.1426666,68.56,3.84,13:00.0
60000,0,97,13:00.0,15:00.7,15:00.7,97,1.1606666,69.64,3.88,14:00.0
59148,0,97,14:00.0,15:00.8,15:00.8,97,1.1944444,70.65,3.86,15:00.0
59305,0,95,15:00.0,22:59.1,22:59.1,95,1.1666666,69.19,3.79,16:00.0
60000,0,100,16:00.0,22:59.2,22:59.2,100,1.2083334,72.5,4,17:00.0
60000,0,99,17:00.0,22:59.3,22:59.3,99,1.1946666,71.68,3.96,18:00.0
59282,0,97,18:00.0,22:59.3,22:59.3,97,1.1944444,70.81,3.88,19:00.0
60000,0,100,19:00.0,22:59.4,22:59.4,100,1.2166667,73,4,20:00.0
60000,0,97,20:00.0,22:59.4,22:59.4,97,1.175,70.5,3.88,21:00.0
60000,0,100,21:00.0,22:59.5,22:59.5,100,1.2216667,73.3,4,22:00.0
60000,0,104,22:00.0,22:59.5,22:59.5,104,1.2761667,76.57,4.16,23:00.0
58519,0,93,23:00.0,23:59.9,23:00.1,93,1.1532891,67.489975,3.7199981,24:00.0
58881,0,93,24:00.0,24:58.8,24:00.7,93,1.1424587,67.27001,3.709998,25:00.0
59210,0,96,25:00.0,25:59.7,25:04.1,96,1.1812115,69.940025,3.8199975,26:00.0
60000,0,100,26:00.0,27:00.0,26:00.3,100,1.2168335,73.01001,3.9899976,27:00.0
60000,0,101,27:00.0,27:59.9,27:00.6,101,1.2256669,73.54001,4.0399976,28:00.0
58132,0,94,28:00.0,28:59.7,28:00.6,94,1.1752359,68.319984,3.7499976,29:00.0
48195,0,73,29:00.0,30:00.0,29:00.4,73,1.0849593,52.289997,2.8699992,30:00.0
26028,0,41,30:00.0,30:24.6,30:00.6,41,1.1360509,29.56999,1.6399995,31:00.0
8158,0,14,36:00.0,36:57.7,36:53.1,14,1.2636514,10.309998,0.55,37:00.0
4296,0,7,45:00.0,45:34.3,45:33.8,7,1.1706176,5.03,0.27,46:00.0
49922,0,77,47:00.0,47:59.5,47:18.8,77,1.1069111,55.259983,2.9999983,48:00.0
42929,0,65,48:00.0,48:42.4,48:00.1,65,1.0815438,46.42998,2.5999987,49:00.0
17767,0,28,50:00.0,50:59.9,50:47.3,28,1.1335044,20.139997,1.1200001,51:00.0
19986,0,33,51:00.0,51:25.7,51:00.6,33,1.1998233,23.979994,1.31,52:00.0
15668,0,22,54:00.0,54:25.1,54:14.4,22,0.98922974,15.5,0.8800002,55:00.0
60000,0,95,57:00.0,00:24.7,57:05.5,95,1.1479998,68.87999,3.79,58:00.0
57861,0,76,58:00.0,00:24.8,00:24.8,76,0.9166667,53.04,3.04,59:00.0
57356,0,83,59:00.0,00:24.8,00:24.8,83,1.0277778,58.95,3.32,00:00.0
18853,0,31,00:00.0,00:24.9,00:24.9,31,1.1944444,22.52,1.23,01:00.0
4092,0,6,37:00.0,37:24.8,37:24.8,6,1.0555556,4.32,0.23,38:00.0
13359,0,24,16:00.0,16:59.1,16:52.7,24,1.3436141,17.949999,0.8800002,17:00.0
7309,0,13,17:00.0,17:07.2,17:00.2,13,1.317539,9.629999,0.5199999,18:00.0
44487,0,77,18:00.0,18:59.1,18:19.6,77,1.2828318,57.070004,3.0699983,19:00.0
60000,0,106,19:00.0,19:59.6,19:04.2,106,1.3126667,78.76,4.2199974,20:00.0
60000,0,109,20:00.0,20:59.7,20:00.1,109,1.3425001,80.55001,4.3599973,21:00.0
60000,0,112,21:00.0,21:59.6,21:00.3,112,1.3933338,83.60002,4.479997,22:00.0
60000,0,114,22:00.0,22:59.6,22:00.2,114,1.425,85.5,4.559997,23:00.0
60000,0,111,23:00.0,23:59.7,23:00.2,111,1.3738332,82.42999,4.439997,24:00.0
60000,0,111,24:00.0,24:59.5,24:00.2,111,1.3779999,82.67999,4.439997,25:00.0
60000,0,114,25:00.0,26:00.0,25:00.1,114,1.4223336,85.34001,4.559997,26:00.0
60000,0,109,26:00.0,26:59.9,26:00.6,109,1.348167,80.890015,4.3599973,27:00.0
60000,0,108,27:00.0,27:59.6,27:00.5,108,1.3396673,80.380035,4.3099976,28:00.0
60000,0,111,28:00.0,28:59.9,28:00.3,111,1.3803328,82.81997,4.439997,29:00.0
60000,0,104,29:00.0,29:59.7,29:00.7,104,1.2781675,76.69005,4.149997,30:00.0
60000,0,96,30:00.0,31:00.0,30:00.5,96,1.1566666,69.4,3.8299978,31:00.0
58893,0,96,31:00.0,31:59.8,31:00.6,96,1.1916447,70.18,3.819998,32:00.0
13944,0,19,17:00.0,18:36.4,18:36.4,19,0.9444444,13.17,0.77,18:00.0
8912,0,13,18:00.0,19:42.2,19:42.2,13,1.0277777,9.16,0.52,19:00.0
38396,0,58,19:00.0,19:55.1,19:42.2,58,1.083967,41.620003,2.3099995,20:00.0
42607,0,68,20:00.0,20:36.9,20:01.5,68,1.1610562,49.469997,2.7199986,21:00.0
54007,0,96,07:00.0,08:21.5,08:21.5,96,1.3055556,70.51,3.76,08:00.0
53500,0,95,08:00.0,08:59.5,08:21.6,95,1.3220384,70.73002,3.779998,09:00.0
58018,0,90,09:00.0,09:59.8,09:00.1,90,1.1196507,64.95999,3.589998,10:00.0
60000,0,105,10:00.0,10:59.7,10:00.3,105,1.2896668,77.380005,4.1999974,11:00.0
60000,0,107,11:00.0,11:59.6,11:00.3,107,1.3106666,78.63999,4.2799973,12:00.0
53699,0,93,12:00.0,12:59.7,12:00.3,93,1.2828892,68.88999,3.7099977,13:00.0
60000,0,108,13:00.0,13:59.6,13:00.3,108,1.3340007,80.04004,4.3199973,14:00.0
60000,0,100,14:00.0,14:59.9,14:00.1,100,1.2166675,73.00005,3.9899974,15:00.0
49607,0,80,15:00.0,15:59.9,15:00.5,80,1.1721967,58.149986,3.1899984,16:00.0
60000,0,105,16:00.0,17:50.1,16:00.6,105,1.2785001,76.71,4.2,17:00.0
23589,0,35,17:00.0,17:51.0,17:50.1,35,1.0547003,24.88,1.39,18:00.0
5845,0,8,24:00.0,24:32.0,24:31.0,8,0.9511925,5.56,0.32,25:00.0
11768,0,19,17:00.0,21:52.9,21:52.9,19,1.1666666,13.73,0.74,18:00.0
59798,0,105,18:00.0,21:53.0,21:53.0,105,1.3055556,78.07,4.19,19:00.0
60000,0,116,19:00.0,21:53.1,21:53.1,116,1.4629999,87.78,4.64,20:00.0
60000,0,115,20:00.0,21:53.1,21:53.1,115,1.451,87.06,4.59,21:00.0
56589,0,103,21:00.0,21:59.9,21:53.1,103,1.3681093,77.42001,4.0999994,22:00.0
60000,0,102,22:00.0,22:59.8,22:00.5,102,1.2495011,74.97007,4.069998,23:00.0
60000,0,106,23:00.0,24:00.0,23:00.4,106,1.2980002,77.88001,4.2399974,24:00.0
60000,0,109,24:00.0,26:41.9,24:00.6,109,1.342001,80.52006,4.3599977,25:00.0
60000,0,111,25:00.0,26:42.0,26:42.0,111,1.3763334,82.58,4.44,26:00.0
60000,0,112,26:00.0,26:59.7,26:42.0,112,1.3953334,83.72,4.4799986,27:00.0
60000,0,114,27:00.0,27:59.6,27:00.3,114,1.425,85.5,4.559997,28:00.0
58763,0,106,28:00.0,28:59.5,28:00.2,106,1.3481265,79.22,4.2299976,29:00.0
60000,0,117,29:00.0,29:59.8,29:00.2,117,1.4665008,87.99004,4.679997,30:00.0
60000,0,114,30:00.0,30:59.7,30:00.4,114,1.4251664,85.50999,4.559997,31:00.0
60000,0,115,31:00.0,35:01.4,31:00.4,115,1.4364998,86.189995,4.5999994,32:00.0
59120,0,107,32:00.0,35:01.4,35:01.4,107,1.3611112,80.47,4.28,33:00.0
9076,0,12,33:00.0,35:01.5,35:01.5,12,0.9166667,8.32,0.48,34:00.0
39799,0,70,34:00.0,35:01.5,35:01.5,70,1.3055556,51.96,2.79,35:00.0
34094,0,61,35:00.0,36:25.3,36:25.3,61,1.3333335,45.46,2.44,36:00.0
13699,0,24,39:00.0,39:59.3,39:49.6,24,1.3044205,17.869999,0.9500001,40:00.0
50649,0,90,40:00.0,40:59.8,40:00.4,90,1.3246019,67.08999,3.5699983,41:00.0
51524,0,84,41:00.0,42:00.0,41:00.5,84,1.1872008,61.16999,3.3499982,42:00.0
52362,0,90,42:00.0,43:45.1,42:00.6,90,1.2707509,66.54002,3.5899985,43:00.0
23636,0,41,59:00.0,59:38.0,59:24.0,41,1.2708955,30.039993,1.6199996,00:00.0
27954,0,50,00:00.0,00:50.4,00:25.3,50,1.3411121,37.49,1.9900001,01:00.0
23632,0,37,01:00.0,01:48.2,01:28.1,37,1.1331842,26.779993,1.4499996,02:00.0
24854,0,40,02:00.0,02:59.6,02:40.3,40,1.17204,29.129992,1.5999997,03:00.0
25084,0,44,03:00.0,03:45.4,03:00.1,44,1.3068023,32.78,1.7599998,04:00.0
60000,0,123,06:00.0,11:05.8,11:05.8,123,1.5070001,90.42,4.84,07:00.0
60000,0,110,07:00.0,11:05.9,11:05.9,110,1.3495001,80.97,4.36,08:00.0
60000,0,111,08:00.0,11:06.0,11:06.0,111,1.369,82.14,4.43,09:00.0
17247,0,29,09:00.0,11:06.1,11:06.1,29,1.2222222,21.08,1.14,10:00.0
5424,0,9,10:00.0,11:06.1,11:06.1,9,1.2222222,6.63,0.35,11:00.0
5751,0,12,11:00.0,11:33.5,11:29.9,12,1.6237948,9.34,0.45999995,12:00.0
14027,0,20,12:00.0,12:16.4,12:07.6,20,1.0051538,14.1,0.80000013,13:00.0
19031,0,34,16:00.0,16:31.1,16:03.7,34,1.3225242,25.169996,1.3399998,17:00.0
3559,0,6,17:00.0,17:03.0,17:03.0,6,1.25,4.45,0.23,18:00.0
3202,0,7,25:00.0,32:02.8,32:02.8,7,1.6111112,5.16,0.27,26:00.0
20062,0,36,27:00.0,32:02.9,32:02.9,36,1.3333334,26.75,1.42,28:00.0
39548,0,72,30:00.0,32:02.9,32:02.9,72,1.3611112,53.83,2.84,31:00.0
60000,0,115,31:00.0,32:03.0,32:03.0,115,1.4403332,86.42,4.6,32:00.0
20548,0,37,32:00.0,32:22.2,32:03.0,37,1.345096,27.639997,1.4799997,33:00.0
14631,0,24,34:00.0,34:10.4,34:03.8,24,1.1789696,17.249998,0.8800002,35:00.0
17157,0,30,54:00.0,55:00.9,55:00.9,30,1.3055556,22.4,1.17,55:00.0
37685,0,66,55:00.0,14:55.9,14:55.9,66,1.3055556,49.2,2.61,56:00.0
49731,0,90,56:00.0,14:55.9,14:55.9,90,1.3611112,67.69,3.58,57:00.0
59434,0,113,57:00.0,14:56.0,14:56.0,113,1.4444444,85.85,4.51,58:00.0
58151,0,102,58:00.0,14:56.1,14:56.1,102,1.3055556,75.92,4.08,59:00.0
30827,0,56,59:00.0,14:56.1,14:56.1,56,1.3611112,41.96,2.23,00:00.0
11168,0,19,00:00.0,14:56.2,14:56.2,19,1.25,13.96,0.73,01:00.0
9803,0,16,01:00.0,14:56.3,14:56.3,16,1.1944444,11.71,0.64,02:00.0
13115,0,22,16:00.0,18:39.6,18:39.6,22,1.2222222,16.03,0.87,17:00.0
28072,0,51,17:00.0,18:39.7,18:39.7,51,1.3611112,38.21,2.02,18:00.0
55339,0,99,18:00.0,18:59.5,18:39.8,99,1.3368376,73.979996,3.9599986,19:00.0
55743,0,94,19:00.0,20:13.9,19:00.1,94,1.2428395,69.27999,3.7599998,20:00.0
4712,0,8,20:00.0,20:14.0,20:14.0,8,1.2222222,5.76,0.31,21:00.0
20763,0,37,21:00.0,21:51.2,21:34.5,37,1.326875,27.549997,1.4699999,22:00.0
31348,0,48,22:00.0,22:29.6,22:03.3,48,1.1001953,34.489994,1.9199992,23:00.0
